mineral,technology,2024,2030,2035,2040
Copper,Solar PV,1657.2,2373.7,2242.6,2230.2
Copper,Wind,534.2,809.8,769.8,622.8
Copper,Other low emissions power generation,75.7,118.8,81.5,85.5
Copper,Electric vehicles,496.7,1597.1,2465.5,2995.5
Copper,Grid battery storage,76.3,215.3,294.9,449.0
Copper,Electricity networks,4929.0,5824.5,5686.4,5744.8
Copper,Hydrogen technologies,0.0,0.0,0.0,0.0
Cobalt,Low emissions power generation,0.0,0.0,0.0,0.0
Cobalt,Electric vehicles,66.5,143.1,142.7,135.8
Cobalt,Grid battery storage,4.1,5.1,3.7,0.0
Cobalt,Hydrogen technologies,0.0,0.0,0.0,0.0
Lithium,Electric vehicles,109.0,326.1,537.6,738.7
Lithium,Grid battery storage,19.0,42.6,51.4,70.0
Nickel,Solar PV,0.6,0.9,0.8,0.8
Nickel,Wind,47.5,67.8,59.5,51.6
Nickel,Other low emissions power generation,174.1,248.7,218.0,292.6
Nickel,Electric vehicles,321.1,959.1,1558.8,1843.3
Nickel,Grid battery storage,17.0,68.0,110.8,188.6
Nickel,Hydrogen technologies,1.4,4.7,5.2,4.1
Magnet rare earth elements,Wind,10.5,16.2,16.1,12.7
Magnet rare earth elements,Electric vehicles,8.4,21.7,30.0,33.9
Magnet rare earth elements,Electric vehicles,1259.6,3597.8,4969.9,4783.5
Magnet rare earth elements,Grid battery storage,245.6,516.2,664.1,917.0
