mineral,country,2024,2030,2035,2040
Copper - Mining,Chile,5476,5505,4730,4164
Copper - Mining,Democratic Republic of Congo,2876,3578,2662,2156
Copper - Mining,Peru,2631,2425,2117,1138
Copper - Mining,China,1815,1962,1870,1676
Copper - Mining,Russia,1101,1194,1079,998
Copper - Mining,United States,1138,1142,833,675
Copper - Mining,Rest of world,7757,8465,6503,5029
Cobalt - Mining,Democratic Republic of Congo,181,199,145,107
Cobalt - Mining,Indonesia,33,58,58,58
Cobalt - Mining,Russia,6,8,8,8
Cobalt - Mining,Australia,6,6,5,5
Cobalt - Mining,Rest of world,45,48,39,34
Lithium - Mining,Australia,89,123,119,100
Lithium - Mining,China,56,133,125,125
Lithium - Mining,Chile,49,58,59,60
Lithium - Mining,Argentina,13,48,50,50
Lithium - Mining,Zimbabwe,23,32,25,25
Lithium - Mining,Rest of world,23,73,67,55
Nickel - Mining,Indonesia,2463,3042,3225,3342
Nickel - Mining,Philippines,345,268,268,268
Nickel - Mining,New Caledonia,116,212,212,212
Nickel - Mining,Russia,190,220,220,220
Nickel - Mining,Canada,118,147,92,52
Nickel - Mining,Australia,100,40,40,40
Nickel - Mining,Rest of world,629,601,452,443
Graphite - Mining (natural),China,1580,1260,1388,1435
Graphite - Mining (natural),Mozambique,37,209,260,289
Graphite - Mining (natural),Madagascar,72,238,205,223
Graphite - Mining (natural),Brazil,68,98,87,87
Graphite - Mining (natural),Russia,29,33,51,49
Graphite - Mining (natural),Tanzania,9,32,36,38
Graphite - Mining (natural),Rest of world,58,150,170,178
Magnet rare earth elements - Mining,China,45,51,56,56
Magnet rare earth elements - Mining,Myanmar,12,10,11,11
Magnet rare earth elements - Mining,Australia,3,12,14,14
Magnet rare earth elements - Mining,United States,6,9,9,9
Magnet rare earth elements - Mining,Rest of world,7,16,17,17
